sample,fastq_1,fastq_2,strandedness
DMSO_REP1,24161FL-02-01-16_S16_L007_R1_001.fastq.gz,24161FL-02-01-16_S16_L007_R2_001.fastq.gz,auto
PF9363_REP1,24161FL-02-01-17_S17_L007_R1_001.fastq.gz,24161FL-02-01-17_S17_L007_R2_001.fastq.gz,auto
WM3835_REP1,24161FL-02-01-18_S18_L007_R1_001.fastq.gz,24161FL-02-01-18_S18_L007_R2_001.fastq.gz,auto
DMSO_REP2,24161FL-02-01-19_S19_L007_R1_001.fastq.gz,24161FL-02-01-19_S19_L007_R2_001.fastq.gz,auto
PF9363_REP2,24161FL-02-01-20_S20_L007_R1_001.fastq.gz,24161FL-02-01-20_S20_L007_R2_001.fastq.gz,auto
WM3835_REP2,24161FL-02-01-21_S21_L007_R1_001.fastq.gz,24161FL-02-01-21_S21_L007_R2_001.fastq.gz,auto
PF9363_REP1,24161FL-02-01-17_S17_L008_R1_001.fastq.gz,24161FL-02-01-17_S17_L008_R2_001.fastq.gz,auto
